batsman,total_runs,highest_score,total_balls,fours,sixes,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,catches,stumpings,run_outs
Y Prithvi Raj,0,0,1,0,0,0,33,57,30,5,11.4,0,0,0
Y Venugopal Rao,1051,6,10102,77,37,10.40388042,222,337,216,36,9.361111111,0,0,0
YA Abdulla,1,1,1,0,0,100,222,307,209,34,9.029411765,0,0,0
YBK Jaiswal,1220,7,12684,145,48,9.618416903,1,6,1,0,6,0,0,0
YK Pathan,3324,6,25543,256,157,13.01335004,1156,1388,1123,187,7.422459893,0,0,0
YS Chahal,43,3,456,0,0,9.429824561,3222,3982,3129,521,7.642994242,0,0,0
YV Dhull,16,4,117,1,0,13.67521368,0,0,0,0,0,0,0,0
YV Takawale,207,6,2184,26,3,9.478021978,0,0,0,0,0,0,0,0
Yash Dayal,0,0,0,0,0,0,293,461,276,46,10.02173913,0,0,0
Yashpal Singh,29,4,406,2,0,7.142857143,0,0,0,0,0,0,0,0
Younis Khan,3,1,21,0,0,14.28571429,0,0,0,0,0,0,0,0
Yudhvir Singh,1,1,0,0,0,inf,50,70,48,8,8.75,0,0,0
Yuvraj Singh,2825,6,25680,213,146,11.00077882,862,1051,851,141,7.453900709,0,0,0
Z Khan,121,6,676,11,2,17.89940828,2275,2782,2199,366,7.601092896,0,0,0
0,0,0,0,0,0,0,18,31,18,3,10.33333333,0,0,0
0,0,0,0,0,0,0,13,21,12,2,10.5,0,0,0
0,0,0,0,0,0,0,156,200,150,25,8,0,0,0
0,0,0,0,0,0,0,160,219,153,25,8.76,0,0,0
0,0,0,0,0,0,0,141,227,138,23,9.869565217,0,0,0
0,0,0,0,0,0,0,162,201,149,24,8.375,0,0,0
0,0,0,0,0,0,0,49,91,48,8,11.375,0,0,0
0,0,0,0,0,0,0,390,479,372,62,7.725806452,0,0,0
0,0,0,0,0,0,0,6,13,6,1,13,0,0,0
0,0,0,0,0,0,0,19,34,18,3,11.33333333,0,0,0
0,0,0,0,0,0,0,17,24,17,2,12,0,0,0
0,0,0,0,0,0,0,28,53,24,4,13.25,0,0,0
0,0,0,0,0,0,0,48,82,48,8,10.25,0,0,0
0,0,0,0,0,0,0,84,141,84,14,10.07142857,0,0,0
0,0,0,0,0,0,0,21,42,18,3,14,0,0,0
0,0,0,0,0,0,0,18,28,18,3,9.333333333,0,0,0
0,0,0,0,0,0,0,26,39,24,4,9.75,0,0,0
0,0,0,0,0,0,0,211,294,204,34,8.647058824,0,0,0
0,0,0,0,0,0,0,61,66,58,9,7.333333333,0,0,0
0,0,0,0,0,0,0,18,27,18,3,9,0,0,0
0,0,0,0,0,0,0,123,200,115,19,10.52631579,0,0,0
0,0,0,0,0,0,0,51,90,48,8,11.25,0,0,0
0,0,0,0,0,0,0,342,448,324,54,8.296296296,0,0,0
0,0,0,0,0,0,0,19,32,18,3,10.66666667,0,0,0
0,0,0,0,0,0,0,336,401,299,49,8.183673469,0,0,0
0,0,0,0,0,0,0,19,33,18,3,11,0,0,0
0,0,0,0,0,0,0,25,62,24,4,15.5,0,0,0
0,0,0,0,0,0,0,31,71,30,5,14.2,0,0,0
0,0,0,0,0,0,0,66,83,66,11,7.545454545,0,0,0
0,0,0,0,0,0,0,16,20,12,2,10,0,0,0
0,0,0,0,0,0,0,15,34,12,2,17,0,0,0
0,0,0,0,0,0,0,25,15,24,4,3.75,0,0,0
0,0,0,0,0,0,0,31,54,30,5,10.8,0,0,0
0,0,0,0,0,0,0,56,73,54,9,8.111111111,0,0,0
0,0,0,0,0,0,0,132,236,132,22,10.72727273,0,0,0
0,0,0,0,0,0,0,6,18,6,1,18,0,0,0
0,0,0,0,0,0,0,107,151,96,16,9.4375,0,0,0
0,0,0,0,0,0,0,36,38,36,6,6.333333333,0,0,0
0,0,0,0,0,0,0,24,33,24,4,8.25,0,0,0
0,0,0,0,0,0,0,98,121,96,16,7.5625,0,0,0
0,0,0,0,0,0,0,6,11,6,1,11,0,0,0
0,0,0,0,0,0,0,12,14,12,2,7,0,0,0
0,0,0,0,0,0,0,12,24,12,2,12,0,0,0
0,0,0,0,0,0,0,43,60,36,6,10,0,0,0
0,0,0,0,0,0,0,18,33,18,3,11,0,0,0
0,0,0,0,0,0,0,13,27,12,2,13.5,0,0,0
0,0,0,0,0,0,0,106,134,102,17,7.882352941,0,0,0
0,0,0,0,0,0,0,50,71,48,8,8.875,0,0,0
0,0,0,0,0,0,0,43,54,42,7,7.714285714,0,0,0
0,0,0,0,0,0,0,24,42,24,4,10.5,0,0,0
0,0,0,0,0,0,0,25,34,25,4,8.5,0,0,0
0,0,0,0,0,0,0,37,51,36,6,8.5,0,0,0
0,0,0,0,0,0,0,239,321,234,39,8.230769231,0,0,0
0,0,0,0,0,0,0,74,136,70,11,12.36363636,0,0,0
0,0,0,0,0,0,0,21,33,21,3,11,0,0,0
0,0,0,0,0,0,0,207,289,191,31,9.322580645,0,0,0
